experiment_id	date_started	date_completed	purpose	data_role	datasets	sample_count	sampling_rule	overlap_control	code_revision	config_path	checkpoint_or_output	artifact_sha256	status	manuscript_eligible	supersedes	superseded_by	decision_record	notes
EXP-MANUSCRIPT-BACKBONE		2026-08-01	Microbial-domain backbone adaptation	backbone training	Controlled microbial training resource	Per manuscript Methods	Per manuscript Methods	Canonical base-peptide separation	v0.1.0	embedded config	pi-MNovo-v0.1.0.ckpt	1de589a887a7b7271aae794b90850ece6c3c68c6d085374d0b32e40ec18d617f	ADOPTED	true			DEC-20260903-PUBLIC-RELEASE	Public repository does not redistribute labelled training spectra.
EXP-MANUSCRIPT-BEAM5-PMC		2026-08-01	Freeze candidate generation	component training	Internal validation	Per manuscript Methods	Frozen Beam5 plus PMC union	Canonical base-peptide separation	v0.1.0	embedded config	pi-MNovo-v0.1.0.ckpt	1de589a887a7b7271aae794b90850ece6c3c68c6d085374d0b32e40ec18d617f	ADOPTED	true			DEC-20260903-PUBLIC-RELEASE	Dynamic Beam20 is excluded.
EXP-MANUSCRIPT-R1		2026-08-01	Train default candidate ranker	component training	Ranker training split	Per manuscript Methods	Per-spectrum candidate lists	Canonical base-peptide separation	v0.1.0	embedded config	pi-MNovo-v0.1.0.ckpt	1de589a887a7b7271aae794b90850ece6c3c68c6d085374d0b32e40ec18d617f	ADOPTED	true			DEC-20260903-PUBLIC-RELEASE	R1 default path.
EXP-MANUSCRIPT-LENGTH		2026-08-01	Train spectrum-conditioned length predictor	component training	Component training split	Per manuscript Methods	Per manuscript Methods	Canonical base-peptide separation	v0.1.0	embedded config	pi-MNovo-v0.1.0.ckpt	1de589a887a7b7271aae794b90850ece6c3c68c6d085374d0b32e40ec18d617f	ADOPTED	true			DEC-20260903-PUBLIC-RELEASE	Embedded component.
EXP-MANUSCRIPT-R2		2026-08-01	Train long-peptide expert	component training	Long-peptide expert split	Per manuscript Methods	Failure-subgroup training	Canonical base-peptide separation	v0.1.0	embedded config	pi-MNovo-v0.1.0.ckpt	1de589a887a7b7271aae794b90850ece6c3c68c6d085374d0b32e40ec18d617f	ADOPTED	true			DEC-20260903-PUBLIC-RELEASE	R2 long-peptide path.
EXP-MANUSCRIPT-R3		2026-08-01	Train fragment-evidence expert	component training	Fragment expert split	Per manuscript Methods	Failure-subgroup training	Canonical base-peptide separation	v0.1.0	embedded config	pi-MNovo-v0.1.0.ckpt	1de589a887a7b7271aae794b90850ece6c3c68c6d085374d0b32e40ec18d617f	ADOPTED	true			DEC-20260903-PUBLIC-RELEASE	R3 fragment-evidence path.
EXP-MANUSCRIPT-ROUTER		2026-08-01	Train and freeze conservative observable router	routing-threshold selection	Router development split	Per manuscript Methods	Observable-feature routing	Separated from final evaluation	v0.1.0	embedded config	pi-MNovo-v0.1.0.ckpt	1de589a887a7b7271aae794b90850ece6c3c68c6d085374d0b32e40ec18d617f	ADOPTED	true			DEC-20260903-PUBLIC-RELEASE	Expert override margin is embedded in the checkpoint.
EXP-MANUSCRIPT-PLATT		2026-08-01	Fit monotonic Score transformation	score calibration	Calibration split	Per manuscript Methods	Positive Platt calibration	Separated from final evaluation	v0.1.0	embedded config	pi-MNovo-v0.1.0.ckpt	1de589a887a7b7271aae794b90850ece6c3c68c6d085374d0b32e40ec18d617f	ADOPTED	true			DEC-20260903-PUBLIC-RELEASE	Score is confidence, not an FDR estimate.
EXP-MANUSCRIPT-SCORE092		2026-08-05	Freeze high-confidence operating threshold	operating-threshold selection	Independent external threshold-validation split	20000	Fixed held-out spectra	Separated from final evaluation	v0.1.0	embedded config	pi-MNovo-v0.1.0.ckpt	1de589a887a7b7271aae794b90850ece6c3c68c6d085374d0b32e40ec18d617f	ADOPTED	true			DEC-20260903-PUBLIC-RELEASE	Exact exploratory cutoff 0.919069 is reported operationally as 0.92.
EXP-MANUSCRIPT-EXTERNAL7		2026-08-01	Final seven-species evaluation	final independent evaluation	Seven external microbial species	203204	All parsed spectra	No model selection or threshold fitting	v0.1.0		Manuscript final evaluation table		ADOPTED	true			DEC-20260903-PUBLIC-RELEASE	134728 correct spectra; peptide recall 0.663018.
REL-PI-MNOVO-V0.1.0	2026-09-03	2026-09-03	Public software and unified model release	public release	All adopted component experiments		Frozen release snapshot	See component records	v0.1.0	CURRENT_RELEASE.json	pi-MNovo-v0.1.0.ckpt	1de589a887a7b7271aae794b90850ece6c3c68c6d085374d0b32e40ec18d617f	CURRENT	true			DEC-20260903-PUBLIC-RELEASE	The only current public release.
